genre,title,edition,description,date,price,rating
Survival,Game 1045,original,Step into the world of Fighting with strategic thinking and breathtaking visuals at your fingertips. Age Restriction: 9.,2002-04-30,32.53,7.9
JRPG,Game 1046,original,Explore the depths of Sports with sports management and endless fun as your guide. Age Restriction: 15.,2020-11-24,74.78,7.1
Simulation,Game 1047,alpha,"Immerse yourself in this Sports game, where strategic thinking meets breathtaking visuals. Age Restriction: 14.",2006-09-15,71.24,3.5
JRPG,Game 1048,classic,Embark on an epic MMORPG journey where high-speed racing and unmatched gameplay come together. Age Restriction: 7.,2005-05-06,53.08,9.1
Strategy,Game 1049,current,Engage in a Sports adventure where high-speed racing and immersive soundtracks prevail. Age Restriction: 17.,2011-06-16,51.42,8.6
MMORPG,Game 1050,original,"Join the adventure in this Fighting game, where high-speed racing is paired with breathtaking visuals. Age Restriction: 17.",2017-12-20,61.6,6.4
Survival,Game 1051,current,A dynamic Action game that integrates puzzle-solving and realistic physics seamlessly. Age Restriction: 6.,2015-12-13,48.45,7.5
Survival,Game 1052,alpha,"This RPG game offers character customization, combined with endless fun for endless excitement. Age Restriction: 10.",2009-03-03,58.97,7.7
Adventure,Game 1053,current,"This Fighting game offers puzzle-solving, combined with realistic physics for endless excitement. Age Restriction: 10.",2007-01-31,67.73,8.3
Strategy,Game 1054,original,Immerse yourself in a Action game that offers character customization and breathtaking visuals. Age Restriction: 13.,2006-10-10,46.9,6.7
Fighting,Game 1055,classic,A MMORPG game where sports management meets realistic physics for an unforgettable experience. Age Restriction: 4.,2008-09-18,46.46,5.6
Puzzle,Game 1056,classic,Experience a new level of Horror with city-building and dynamic environments. Age Restriction: 13.,2003-09-06,33.95,3.7
Action,Game 1057,classic,A thrilling MMORPG game featuring sports management and endless fun. Age Restriction: 7.,2011-07-23,26.92,9.1
Sports,Game 1058,original,Adventure awaits in this Sports game featuring strategic thinking and unmatched gameplay. Age Restriction: 3.,2015-06-30,40.16,6.2
JRPG,Game 1059,beta,"Immerse yourself in this Survival game, where puzzle-solving meets immersive soundtracks. Age Restriction: 12.",2009-11-01,52.45,0.1
JRPG,Game 1060,current,An innovative Simulation game that puzzle-solving and realistic physics. Age Restriction: 12.,2013-07-06,69.42,7.9
MMORPG,Game 1061,classic,"Experience the excitement in this Fighting game, where intense battles and immersive soundtracks. Age Restriction: 12.",2018-10-26,39.9,6.3
Survival,Game 1062,original,"Immerse yourself in this JRPG game, where strategic thinking meets realistic physics. Age Restriction: 3.",2003-02-01,86.21,10.0
Puzzle,Game 1063,beta,Explore the depths of Action with strategic thinking and challenging levels as your guide. Age Restriction: 14.,2013-07-11,43.8,5.9
Simulation,Game 1064,alpha,A Strategy game where intense battles meets endless fun for an unforgettable experience. Age Restriction: 9.,2013-05-06,31.55,1.9
Fighting,Game 1065,original,Embark on an epic Survival journey where puzzle-solving and challenging levels come together. Age Restriction: 11.,2004-08-29,21.19,5.5
Horror,Game 1066,alpha,Immerse yourself in a Horror game that offers sports management and dynamic environments. Age Restriction: 18.,2016-05-15,18.83,8.3
Simulation,Game 1067,beta,A thrilling Sports game featuring character customization and realistic physics. Age Restriction: 8.,2021-08-05,11.43,8.1
Strategy,Game 1068,classic,This Action game captivates with puzzle-solving and realistic physics at its core. Age Restriction: 10.,2000-07-23,46.29,6.6
Sports,Game 1069,original,"Experience the excitement in this Simulation game, where strategic thinking and endless fun. Age Restriction: 18.",2005-05-13,81.17,4.9
RPG,Game 1070,original,Immerse yourself in a Fighting game that offers character customization and multiplayer options. Age Restriction: 11.,2016-06-05,38.68,3.9
Fighting,Game 1071,beta,Dive into JRPG\ with character customization and endless fun for a complete experience. Age Restriction: 14.,2015-05-12,81.63,5.8
Survival,Game 1072,classic,"Explore the Action genre with character customization, making it endless fun. Age Restriction: 16.",2004-05-25,56.74,6.0
Action,Game 1073,classic,"Join the adventure in this Strategy game, where high-speed racing is paired with breathtaking visuals. Age Restriction: 4.",2012-01-08,80.45,5.4
MMORPG,Game 1074,alpha,"This Horror game provides intense battles, perfect for those who immersive soundtracks. Age Restriction: 8.",2009-01-03,29.64,9.4
Action,Game 1075,beta,An engaging Fighting game that brings puzzle-solving and dynamic environments to life. Age Restriction: 11.,2003-12-22,53.67,6.9
MMORPG,Game 1076,current,"Experience the excitement in this Adventure game, where intense battles and realistic physics. Age Restriction: 11.",2007-06-06,10.15,1.7
Puzzle,Game 1077,current,An innovative Survival game that high-speed racing and endless fun. Age Restriction: 9.,2015-06-21,77.59,2.9
Puzzle,Game 1078,current,"Experience the excitement in this Puzzle game, where sports management and realistic physics. Age Restriction: 6.",2010-06-24,99.86,2.8
Simulation,Game 1079,classic,Embark on an epic MMORPG journey where sports management and breathtaking visuals come together. Age Restriction: 16.,2012-02-20,28.68,0.5
Action,Game 1080,current,"Experience the excitement in this MMORPG game, where puzzle-solving and challenging levels. Age Restriction: 15.",2022-10-16,92.12,4.1
Simulation,Game 1081,alpha,"Explore the Strategy genre with city-building, making it realistic physics. Age Restriction: 5.",2006-07-25,13.11,4.8
MMORPG,Game 1082,original,"This RPG game provides high-speed racing, perfect for those who immersive soundtracks. Age Restriction: 8.",2008-03-05,56.14,8.1
Simulation,Game 1083,classic,"Dive into the world of Horror with strategic thinking, offering immersive soundtracks. Age Restriction: 7.",2019-03-20,32.81,8.7
JRPG,Game 1084,beta,Explore the depths of MMORPG with high-speed racing and immersive soundtracks as your guide. Age Restriction: 14.,2006-12-20,36.24,4.6
RPG,Game 1085,classic,A captivating Puzzle experience that blends high-speed racing with endless fun. Age Restriction: 8.,2023-10-24,75.03,7.5
Puzzle,Game 1086,classic,A captivating Strategy experience that blends complex narratives with challenging levels. Age Restriction: 12.,2019-06-24,95.8,3.0
RPG,Game 1087,beta,Step into the world of Sports with high-speed racing and breathtaking visuals at your fingertips. Age Restriction: 11.,2008-06-23,96.6,4.7
Sports,Game 1088,original,Embark on an epic Action journey where intense battles and realistic physics come together. Age Restriction: 14.,2004-08-14,98.46,0.7
Action,Game 1089,classic,A thrilling Simulation game featuring character customization and dynamic environments. Age Restriction: 12.,2008-04-08,89.23,7.5
Action,Game 1090,classic,A unique MMORPG game that offers city-building alongside realistic physics. Age Restriction: 8.,2006-03-03,76.8,4.9
Adventure,Game 1091,original,Adventure awaits in this RPG game featuring city-building and challenging levels. Age Restriction: 13.,2017-03-14,44.63,8.7
Fighting,Game 1092,original,"Unleash your potential in this JRPG game, featuring strategic thinking and unmatched gameplay. Age Restriction: 12.",2004-02-04,70.17,9.7
Survival,Game 1093,current,A dynamic Survival game that integrates character customization and breathtaking visuals seamlessly. Age Restriction: 11.,2002-03-07,72.9,0.4
Strategy,Game 1094,beta,"Immerse yourself in this RPG game, where character customization meets endless fun. Age Restriction: 9.",2021-04-25,89.36,6.3
Simulation,Game 1095,classic,Dive into MMORPG\ with complex narratives and immersive soundtracks for a complete experience. Age Restriction: 7.,2017-10-15,37.39,5.6
Action,Game 1096,beta,"Unleash your potential in this Action game, featuring puzzle-solving and endless fun. Age Restriction: 12.",2010-12-14,86.68,0.3
Horror,Game 1097,classic,Engage in a Survival adventure where puzzle-solving and endless fun prevail. Age Restriction: 8.,2002-08-20,96.21,2.8
Fighting,Game 1098,original,Adventure awaits in this Sports game featuring intense battles and challenging levels. Age Restriction: 11.,2009-07-31,11.06,4.1
MMORPG,Game 1099,alpha,A unique Simulation game that offers character customization alongside breathtaking visuals. Age Restriction: 17.,2023-10-03,21.55,8.7
JRPG,Game 1100,beta,"Experience the excitement in this Simulation game, where city-building and challenging levels. Age Restriction: 15.",2011-02-05,45.72,7.6
Survival,Game 1101,classic,Prepare for an intense MMORPG experience with puzzle-solving and challenging levels. Age Restriction: 6.,2021-09-06,94.99,6.2
Action,Game 1102,classic,"Explore the Strategy genre with character customization, making it breathtaking visuals. Age Restriction: 18.",2018-01-07,96.36,1.3
Puzzle,Game 1103,current,A RPG game where sports management meets realistic physics for an unforgettable experience. Age Restriction: 4.,2017-12-03,29.67,5.9
RPG,Game 1104,beta,Discover the thrill of JRPG through puzzle-solving and breathtaking visuals. Age Restriction: 4.,2004-10-14,39.25,6.2
Strategy,Game 1105,alpha,A captivating MMORPG experience that blends sports management with dynamic environments. Age Restriction: 10.,2018-10-28,24.23,1.5
JRPG,Game 1106,beta,Immerse yourself in a RPG game that offers high-speed racing and realistic physics. Age Restriction: 13.,2004-10-31,78.79,7.7
Adventure,Game 1107,beta,A thrilling Sports game featuring puzzle-solving and multiplayer options. Age Restriction: 14.,2002-12-29,39.32,7.7
Horror,Game 1108,original,Immerse yourself in a Simulation game that offers strategic thinking and challenging levels. Age Restriction: 10.,2002-02-01,27.12,5.4
Fighting,Game 1109,original,"Dive into the world of RPG with high-speed racing, offering endless fun. Age Restriction: 12.",2003-07-09,31.26,9.3
Survival,Game 1110,current,A thrilling Strategy game featuring high-speed racing and endless fun. Age Restriction: 11.,2009-09-29,38.1,7.9
Puzzle,Game 1111,classic,An engaging Puzzle game that brings complex narratives and breathtaking visuals to life. Age Restriction: 8.,2013-05-31,72.48,9.2
Simulation,Game 1112,classic,Immerse yourself in a RPG game that offers city-building and multiplayer options. Age Restriction: 15.,2006-02-16,58.26,1.1
MMORPG,Game 1113,original,"Join the adventure in this Strategy game, where strategic thinking is paired with unmatched gameplay. Age Restriction: 5.",2013-09-18,85.81,2.1
Survival,Game 1114,alpha,A thrilling Fighting game featuring strategic thinking and multiplayer options. Age Restriction: 3.,2018-06-01,59.18,2.3
Adventure,Game 1115,classic,A Sports game where city-building meets immersive soundtracks for an unforgettable experience. Age Restriction: 8.,2012-10-02,75.72,7.7
JRPG,Game 1116,beta,"Experience the excitement in this Sports game, where strategic thinking and breathtaking visuals. Age Restriction: 14.",2019-01-02,63.8,6.1
Action,Game 1117,original,An innovative Action game that intense battles and endless fun. Age Restriction: 13.,2019-12-17,78.56,0.2
Fighting,Game 1118,beta,Dive into Strategy\ with sports management and realistic physics for a complete experience. Age Restriction: 4.,2018-05-22,27.22,2.6
JRPG,Game 1119,alpha,This Survival game captivates with high-speed racing and immersive soundtracks at its core. Age Restriction: 8.,2006-06-09,66.39,3.3
JRPG,Game 1120,current,"Experience the excitement in this Adventure game, where sports management and challenging levels. Age Restriction: 16.",2010-07-27,86.33,5.4
Puzzle,Game 1121,current,"Unleash your potential in this MMORPG game, featuring high-speed racing and breathtaking visuals. Age Restriction: 9.",2004-03-12,10.05,9.2
Sports,Game 1122,current,Immerse yourself in a MMORPG game that offers high-speed racing and breathtaking visuals. Age Restriction: 18.,2014-07-20,15.74,7.2
JRPG,Game 1123,classic,"Unleash your potential in this Strategy game, featuring sports management and immersive soundtracks. Age Restriction: 16.",2005-09-16,74.77,6.8
RPG,Game 1124,current,"Dive into the world of Action with city-building, offering immersive soundtracks. Age Restriction: 3.",2002-05-17,29.48,6.2
JRPG,Game 1125,beta,"Experience the excitement in this Fighting game, where sports management and immersive soundtracks. Age Restriction: 7.",2008-05-31,65.6,9.0
Adventure,Game 1126,original,"Experience the excitement in this Horror game, where high-speed racing and immersive soundtracks. Age Restriction: 11.",2012-08-13,77.55,3.1
RPG,Game 1127,current,Engage in a JRPG adventure where sports management and dynamic environments prevail. Age Restriction: 12.,2018-09-29,17.47,6.3
JRPG,Game 1128,beta,Immerse yourself in a Survival game that offers sports management and endless fun. Age Restriction: 3.,2019-01-31,63.22,3.3
RPG,Game 1129,current,Step into the world of Horror with puzzle-solving and multiplayer options at your fingertips. Age Restriction: 3.,2000-07-01,96.75,1.6
Horror,Game 1130,classic,"This Strategy game offers complex narratives, combined with immersive soundtracks for endless excitement. Age Restriction: 18.",2008-10-04,39.67,8.9
RPG,Game 1131,classic,A unique Simulation game that offers intense battles alongside challenging levels. Age Restriction: 6.,2013-10-14,73.24,1.8
Simulation,Game 1132,current,A captivating MMORPG experience that blends city-building with challenging levels. Age Restriction: 13.,2016-03-04,99.11,4.3
Simulation,Game 1133,classic,A JRPG game where puzzle-solving meets dynamic environments for an unforgettable experience. Age Restriction: 7.,2015-12-15,76.08,6.8
Survival,Game 1134,classic,Embark on an epic Puzzle journey where high-speed racing and breathtaking visuals come together. Age Restriction: 6.,2007-12-08,35.27,0.8
JRPG,Game 1135,classic,This Simulation game captivates with complex narratives and breathtaking visuals at its core. Age Restriction: 6.,2013-02-10,45.95,4.4
Horror,Game 1136,current,Engage in a MMORPG adventure where city-building and endless fun prevail. Age Restriction: 13.,2008-02-04,42.81,8.2
RPG,Game 1137,current,An engaging Sports game that brings high-speed racing and multiplayer options to life. Age Restriction: 7.,2003-03-10,52.0,5.7
Puzzle,Game 1138,alpha,Immerse yourself in a Simulation game that offers intense battles and challenging levels. Age Restriction: 17.,2011-09-15,89.11,1.1
Strategy,Game 1139,classic,This Action game captivates with high-speed racing and realistic physics at its core. Age Restriction: 12.,2016-12-17,79.36,8.9
Puzzle,Game 1140,classic,"Dive into the world of Sports with high-speed racing, offering endless fun. Age Restriction: 17.",2021-10-11,89.12,3.9
Action,Game 1141,beta,An engaging Fighting game that brings intense battles and multiplayer options to life. Age Restriction: 8.,2005-03-28,14.8,5.3
Puzzle,Game 1142,beta,"Unleash your potential in this RPG game, featuring strategic thinking and multiplayer options. Age Restriction: 9.",2000-05-16,80.36,8.4
Adventure,Game 1143,current,"Dive into the world of Strategy with puzzle-solving, offering endless fun. Age Restriction: 9.",2008-11-13,45.85,3.5
Survival,Game 1144,beta,"Unleash your potential in this Adventure game, featuring complex narratives and challenging levels. Age Restriction: 12.",2006-03-12,34.97,4.7
Horror,Game 1145,original,A dynamic Puzzle game that integrates complex narratives and realistic physics seamlessly. Age Restriction: 12.,2005-01-29,48.9,9.2
Fighting,Game 1146,current,A captivating RPG experience that blends complex narratives with challenging levels. Age Restriction: 13.,2011-05-08,69.98,7.8
JRPG,Game 1147,original,"Experience the excitement in this MMORPG game, where puzzle-solving and immersive soundtracks. Age Restriction: 16.",2023-01-15,46.92,7.4
Strategy,Game 1148,classic,A dynamic Action game that integrates intense battles and dynamic environments seamlessly. Age Restriction: 10.,2014-09-18,54.53,6.6
Strategy,Game 1149,beta,This Survival game captivates with sports management and challenging levels at its core. Age Restriction: 4.,2008-11-06,74.72,4.8
Sports,Game 1150,alpha,Challenge yourself in this Adventure game with sports management and endless fun. Age Restriction: 10.,2004-03-05,35.0,7.1
Strategy,Game 1151,classic,A captivating Fighting experience that blends intense battles with dynamic environments. Age Restriction: 8.,2018-01-31,51.05,9.4
Adventure,Game 1152,current,Step into the world of JRPG with strategic thinking and dynamic environments at your fingertips. Age Restriction: 13.,2017-05-07,19.47,6.2
Sports,Game 1153,original,Immerse yourself in a Horror game that offers puzzle-solving and unmatched gameplay. Age Restriction: 14.,2023-04-07,20.04,7.7
Puzzle,Game 1154,classic,Explore the depths of Horror with intense battles and realistic physics as your guide. Age Restriction: 3.,2004-10-05,71.77,9.9
Action,Game 1155,original,"Join the adventure in this Simulation game, where sports management is paired with multiplayer options. Age Restriction: 13.",2018-08-08,26.47,1.0
JRPG,Game 1156,alpha,"This Puzzle game provides high-speed racing, perfect for those who endless fun. Age Restriction: 5.",2013-03-25,10.92,4.1
RPG,Game 1157,alpha,Engage in a Fighting adventure where sports management and challenging levels prevail. Age Restriction: 11.,2009-01-05,59.85,2.2
Fighting,Game 1158,beta,Discover the thrill of Simulation through puzzle-solving and endless fun. Age Restriction: 9.,2007-07-22,62.23,10.0
JRPG,Game 1159,classic,An innovative Horror game that high-speed racing and endless fun. Age Restriction: 14.,2011-12-01,36.8,5.4
Simulation,Game 1160,alpha,Step into the world of Action with strategic thinking and realistic physics at your fingertips. Age Restriction: 3.,2006-11-22,80.31,7.4
JRPG,Game 1161,original,"Unleash your potential in this Puzzle game, featuring sports management and dynamic environments. Age Restriction: 8.",2011-07-19,77.49,7.2
Adventure,Game 1162,original,"Dive into the world of RPG with intense battles, offering multiplayer options. Age Restriction: 3.",2015-06-30,35.93,7.1
Fighting,Game 1163,alpha,Explore the depths of RPG with strategic thinking and endless fun as your guide. Age Restriction: 6.,2021-10-26,83.59,7.5
Horror,Game 1164,classic,Explore the depths of Survival with high-speed racing and immersive soundtracks as your guide. Age Restriction: 11.,2022-08-17,36.18,9.6
Sports,Game 1165,beta,Embark on an epic Action journey where sports management and immersive soundtracks come together. Age Restriction: 8.,2014-10-30,95.12,4.8
Simulation,Game 1166,original,Explore the depths of Horror with sports management and dynamic environments as your guide. Age Restriction: 3.,2023-03-30,59.66,3.4
RPG,Game 1167,classic,Discover the thrill of Simulation through puzzle-solving and dynamic environments. Age Restriction: 6.,2005-06-13,56.34,4.0
Horror,Game 1168,beta,"Immerse yourself in this Horror game, where character customization meets dynamic environments. Age Restriction: 9.",2012-05-11,50.95,5.4
Puzzle,Game 1169,alpha,A captivating Simulation experience that blends sports management with multiplayer options. Age Restriction: 9.,2016-12-11,59.11,6.6
MMORPG,Game 1170,beta,A captivating Adventure experience that blends strategic thinking with immersive soundtracks. Age Restriction: 17.,2015-03-25,48.82,9.8
Sports,Game 1171,original,"Dive into the world of RPG with sports management, offering endless fun. Age Restriction: 16.",2005-04-18,23.4,4.7
Horror,Game 1172,current,This JRPG game captivates with high-speed racing and dynamic environments at its core. Age Restriction: 13.,2015-05-01,35.72,5.9
RPG,Game 1173,classic,Experience a new level of Puzzle with sports management and dynamic environments. Age Restriction: 16.,2008-05-04,90.48,4.2
RPG,Game 1174,original,A unique Simulation game that offers strategic thinking alongside multiplayer options. Age Restriction: 4.,2023-05-22,95.58,9.3
JRPG,Game 1175,original,A thrilling MMORPG game featuring strategic thinking and multiplayer options. Age Restriction: 10.,2017-12-18,34.06,6.4
Simulation,Game 1176,beta,"Unleash your potential in this JRPG game, featuring character customization and realistic physics. Age Restriction: 16.",2004-09-16,83.56,5.2
Strategy,Game 1177,alpha,"This JRPG game provides high-speed racing, perfect for those who breathtaking visuals. Age Restriction: 4.",2003-11-08,66.15,9.2
Fighting,Game 1178,alpha,Adventure awaits in this Horror game featuring character customization and realistic physics. Age Restriction: 3.,2018-12-08,70.11,4.4
Horror,Game 1179,original,A Fighting game where character customization meets challenging levels for an unforgettable experience. Age Restriction: 16.,2005-11-18,56.71,4.0
Survival,Game 1180,original,Adventure awaits in this Survival game featuring character customization and multiplayer options. Age Restriction: 6.,2013-10-17,73.67,0.9
RPG,Game 1181,original,"This Strategy game offers strategic thinking, combined with multiplayer options for endless excitement. Age Restriction: 5.",2000-03-19,64.93,3.9
Survival,Game 1182,beta,"Dive into the world of Adventure with strategic thinking, offering immersive soundtracks. Age Restriction: 16.",2022-09-27,73.52,3.3
Action,Game 1183,beta,"Explore the MMORPG genre with sports management, making it breathtaking visuals. Age Restriction: 13.",2003-08-26,23.56,7.3
Horror,Game 1184,beta,A unique Sports game that offers city-building alongside endless fun. Age Restriction: 14.,2004-02-25,77.72,7.4
Sports,Game 1185,original,Discover the thrill of MMORPG through sports management and dynamic environments. Age Restriction: 11.,2008-06-24,79.38,4.8
Horror,Game 1186,current,Embark on an epic Simulation journey where strategic thinking and realistic physics come together. Age Restriction: 4.,2011-10-26,56.38,0.9
MMORPG,Game 1187,alpha,"Dive into the world of Strategy with city-building, offering unmatched gameplay. Age Restriction: 8.",2007-07-22,73.63,5.2
Fighting,Game 1188,beta,"Immerse yourself in this JRPG game, where high-speed racing meets multiplayer options. Age Restriction: 15.",2012-09-21,16.84,3.2
JRPG,Game 1189,classic,A RPG game where sports management meets multiplayer options for an unforgettable experience. Age Restriction: 12.,2008-06-03,18.68,3.2
Fighting,Game 1190,beta,An engaging Sports game that brings strategic thinking and dynamic environments to life. Age Restriction: 9.,2001-01-22,53.61,5.3
Strategy,Game 1191,current,Adventure awaits in this MMORPG game featuring sports management and multiplayer options. Age Restriction: 8.,2013-04-06,81.63,4.5
Sports,Game 1192,classic,A thrilling Horror game featuring city-building and multiplayer options. Age Restriction: 15.,2000-07-29,53.72,0.4
Simulation,Game 1193,alpha,Challenge yourself in this Puzzle game with puzzle-solving and immersive soundtracks. Age Restriction: 11.,2014-09-08,96.68,9.7
Survival,Game 1194,current,"Experience the excitement in this Horror game, where high-speed racing and dynamic environments. Age Restriction: 15.",2003-11-23,49.87,2.7
JRPG,Game 1195,original,"Experience the excitement in this Sports game, where puzzle-solving and dynamic environments. Age Restriction: 18.",2015-11-28,78.31,5.2
Sports,Game 1196,beta,Engage in a MMORPG adventure where high-speed racing and unmatched gameplay prevail. Age Restriction: 12.,2018-11-15,56.22,4.6
Adventure,Game 1197,current,"Unleash your potential in this Strategy game, featuring high-speed racing and endless fun. Age Restriction: 4.",2013-02-14,42.28,0.8
Puzzle,Game 1198,classic,A dynamic MMORPG game that integrates complex narratives and dynamic environments seamlessly. Age Restriction: 12.,2004-12-17,63.21,9.4
Adventure,Game 1199,original,A Sports game where high-speed racing meets unmatched gameplay for an unforgettable experience. Age Restriction: 12.,2008-08-18,42.14,4.6
RPG,Game 1200,classic,An engaging Horror game that brings city-building and endless fun to life. Age Restriction: 10.,2019-03-03,19.7,2.8
Sports,Game 1201,beta,"Dive into the world of Simulation with character customization, offering breathtaking visuals. Age Restriction: 15.",2021-06-28,51.83,8.4
Sports,Game 1202,current,Experience a new level of Sports with high-speed racing and multiplayer options. Age Restriction: 5.,2000-03-10,90.3,1.0
Strategy,Game 1203,alpha,A Strategy game where sports management meets multiplayer options for an unforgettable experience. Age Restriction: 7.,2014-02-10,73.27,0.5
Horror,Game 1204,classic,Dive into MMORPG\ with city-building and immersive soundtracks for a complete experience. Age Restriction: 15.,2009-12-26,96.1,2.6
Puzzle,Game 1205,original,Explore the depths of Survival with sports management and dynamic environments as your guide. Age Restriction: 13.,2004-08-10,61.46,1.0
MMORPG,Game 1206,current,Embark on an epic MMORPG journey where character customization and breathtaking visuals come together. Age Restriction: 5.,2010-07-29,20.08,1.1
Adventure,Game 1207,original,Challenge yourself in this Horror game with city-building and realistic physics. Age Restriction: 7.,2023-06-11,69.09,9.8
Horror,Game 1208,beta,"Dive into the world of Action with puzzle-solving, offering breathtaking visuals. Age Restriction: 5.",2003-12-13,11.86,8.2
Fighting,Game 1209,alpha,"Unleash your potential in this Adventure game, featuring high-speed racing and multiplayer options. Age Restriction: 9.",2006-10-01,38.7,6.8
Survival,Game 1210,beta,An engaging RPG game that brings city-building and challenging levels to life. Age Restriction: 4.,2001-11-02,92.87,0.6
RPG,Game 1211,classic,A Adventure game where high-speed racing meets multiplayer options for an unforgettable experience. Age Restriction: 10.,2014-06-06,87.02,5.2
Puzzle,Game 1212,beta,Prepare for an intense Survival experience with intense battles and unmatched gameplay. Age Restriction: 6.,2017-11-14,43.36,7.5
Fighting,Game 1213,alpha,Adventure awaits in this Adventure game featuring strategic thinking and dynamic environments. Age Restriction: 16.,2009-10-09,73.39,6.8
MMORPG,Game 1214,beta,Prepare for an intense Adventure experience with high-speed racing and multiplayer options. Age Restriction: 12.,2001-09-25,12.91,5.6
Horror,Game 1215,original,"Join the adventure in this Simulation game, where complex narratives is paired with multiplayer options. Age Restriction: 12.",2012-11-14,63.59,2.1
JRPG,Game 1216,classic,Embark on an epic Puzzle journey where strategic thinking and breathtaking visuals come together. Age Restriction: 18.,2008-09-30,28.13,6.2
JRPG,Game 1217,alpha,"Explore the JRPG genre with character customization, making it immersive soundtracks. Age Restriction: 14.",2016-03-07,33.93,8.3
Horror,Game 1218,alpha,"Experience the excitement in this Survival game, where sports management and challenging levels. Age Restriction: 8.",2014-03-14,14.7,7.2
Puzzle,Game 1219,alpha,This Strategy game captivates with city-building and unmatched gameplay at its core. Age Restriction: 10.,2012-01-10,15.93,3.6
Puzzle,Game 1220,current,Explore the depths of Action with character customization and realistic physics as your guide. Age Restriction: 6.,2015-03-11,28.9,1.5
Survival,Game 1221,alpha,"Explore the Adventure genre with intense battles, making it endless fun. Age Restriction: 6.",2009-08-17,43.07,0.6
Puzzle,Game 1222,original,Explore the depths of Action with puzzle-solving and immersive soundtracks as your guide. Age Restriction: 12.,2008-10-24,65.31,7.2
Puzzle,Game 1223,beta,Explore the depths of Sports with strategic thinking and unmatched gameplay as your guide. Age Restriction: 13.,2021-06-06,32.95,1.7
JRPG,Game 1224,beta,Challenge yourself in this Strategy game with character customization and endless fun. Age Restriction: 7.,2018-09-23,37.0,6.7
MMORPG,Game 1225,current,An engaging Action game that brings sports management and endless fun to life. Age Restriction: 6.,2007-04-26,98.91,3.3
JRPG,Game 1226,beta,Adventure awaits in this Strategy game featuring intense battles and unmatched gameplay. Age Restriction: 10.,2022-04-04,42.26,1.0
JRPG,Game 1227,beta,Engage in a Survival adventure where character customization and realistic physics prevail. Age Restriction: 11.,2006-01-27,50.52,2.5
Sports,Game 1228,beta,An engaging JRPG game that brings city-building and unmatched gameplay to life. Age Restriction: 13.,2007-03-13,15.31,1.7
Simulation,Game 1229,current,A unique RPG game that offers puzzle-solving alongside realistic physics. Age Restriction: 10.,2012-10-15,49.6,0.8
Adventure,Game 1230,beta,Dive into Survival\ with complex narratives and endless fun for a complete experience. Age Restriction: 4.,2006-08-14,79.03,7.1
Fighting,Game 1231,beta,A dynamic JRPG game that integrates complex narratives and challenging levels seamlessly. Age Restriction: 15.,2013-06-22,66.54,8.2
JRPG,Game 1232,beta,"Experience the excitement in this Adventure game, where character customization and realistic physics. Age Restriction: 12.",2011-10-14,42.67,9.7
Simulation,Game 1233,original,"This Adventure game provides intense battles, perfect for those who endless fun. Age Restriction: 8.",2003-09-15,33.36,5.1
Action,Game 1234,alpha,Immerse yourself in a Action game that offers high-speed racing and breathtaking visuals. Age Restriction: 16.,2010-08-16,90.71,5.4
Adventure,Game 1235,alpha,Engage in a Simulation adventure where city-building and unmatched gameplay prevail. Age Restriction: 12.,2010-01-20,94.85,1.3
Simulation,Game 1236,alpha,Engage in a MMORPG adventure where puzzle-solving and dynamic environments prevail. Age Restriction: 10.,2017-02-24,96.79,6.6
Horror,Game 1237,current,Experience a new level of Simulation with puzzle-solving and breathtaking visuals. Age Restriction: 9.,2005-08-24,68.96,7.4
Strategy,Game 1238,classic,"Unleash your potential in this Horror game, featuring complex narratives and multiplayer options. Age Restriction: 12.",2019-10-25,18.24,7.9
Horror,Game 1239,current,Step into the world of MMORPG with intense battles and immersive soundtracks at your fingertips. Age Restriction: 14.,2010-09-20,93.96,5.3
JRPG,Game 1240,alpha,"Explore the Adventure genre with high-speed racing, making it endless fun. Age Restriction: 16.",2015-11-13,71.58,2.6
RPG,Game 1241,original,Embark on an epic Puzzle journey where complex narratives and breathtaking visuals come together. Age Restriction: 6.,2011-03-06,92.33,7.3
Action,Game 1242,beta,Experience a new level of Strategy with intense battles and realistic physics. Age Restriction: 15.,2016-06-06,86.0,9.4
Simulation,Game 1243,alpha,Experience a new level of MMORPG with puzzle-solving and challenging levels. Age Restriction: 6.,2021-09-28,66.17,2.7
Fighting,Game 1244,original,An innovative MMORPG game that character customization and breathtaking visuals. Age Restriction: 13.,2008-09-22,42.24,5.2
Sports,Game 1245,beta,"This MMORPG game offers sports management, combined with endless fun for endless excitement. Age Restriction: 10.",2013-02-16,72.97,2.7
Sports,Game 1246,current,Adventure awaits in this Adventure game featuring city-building and immersive soundtracks. Age Restriction: 14.,2004-10-04,60.49,3.0
Strategy,Game 1247,beta,"Unleash your potential in this Action game, featuring sports management and endless fun. Age Restriction: 17.",2016-01-16,63.39,5.8
Sports,Game 1248,beta,"Explore the RPG genre with strategic thinking, making it realistic physics. Age Restriction: 16.",2014-08-10,40.27,1.7
Sports,Game 1249,classic,Step into the world of Sports with intense battles and realistic physics at your fingertips. Age Restriction: 7.,2013-12-25,71.63,3.6
JRPG,Game 1250,current,This Adventure game captivates with high-speed racing and breathtaking visuals at its core. Age Restriction: 11.,2007-02-23,84.7,6.1
